training with model_path ./checkpoint/resnet18_SSL_reinforcement_0417.pth
Device: cuda
Number of train images is 20000
[32/40] Train batch: 15 / 161
[32/40] Train batch: 16 / 161
[32/40] Train batch: 17 / 161
[32/40] Train batch: 18 / 161
[32/40] Train batch: 19 / 161
[32/40] Train batch: 20 / 161
[32/40] Train batch: 21 / 161
[32/40] Train batch: 22 / 161
[32/40] Train batch: 23 / 161
[32/40] Train batch: 24 / 161
[32/40] Train batch: 25 / 161
[32/40] Train batch: 26 / 161
[32/40] Train batch: 27 / 161
[32/40] Train batch: 28 / 161
[32/40] Train batch: 29 / 161
[32/40] Train batch: 30 / 161
[32/40] Train batch: 31 / 161
[32/40] Train batch: 32 / 161
[32/40] Train batch: 33 / 161
[32/40] Train batch: 34 / 161
[32/40] Train batch: 35 / 161
[32/40] Train batch: 36 / 161
[32/40] Train batch: 37 / 161
[32/40] Train batch: 38 / 161
[32/40] Train batch: 39 / 161
[32/40] Train batch: 40 / 161
[32/40] Train batch: 41 / 161
[32/40] Train batch: 42 / 161
[32/40] Train batch: 43 / 161
[32/40] Train batch: 44 / 161
[32/40] Train batch: 45 / 161
[32/40] Train batch: 46 / 161
[32/40] Train batch: 47 / 161
[32/40] Train batch: 48 / 161
[32/40] Train batch: 49 / 161
[32/40] Train batch: 50 / 161
[32/40] Train batch: 51 / 161
[32/40] Train batch: 52 / 161
[32/40] Train batch: 53 / 161
[32/40] Train batch: 54 / 161
[32/40] Train batch: 55 / 161
[32/40] Train batch: 56 / 161
[32/40] Train batch: 57 / 161
[32/40] Train batch: 58 / 161
[32/40] Train batch: 59 / 161
[32/40] Train batch: 60 / 161
[32/40] Train batch: 61 / 161
[32/40] Train batch: 62 / 161
[32/40] Train batch: 63 / 161
[32/40] Train batch: 64 / 161
[32/40] Train batch: 65 / 161
[32/40] Train batch: 66 / 161
[32/40] Train batch: 67 / 161
[32/40] Train batch: 68 / 161
[32/40] Train batch: 69 / 161
[32/40] Train batch: 70 / 161
[32/40] Train batch: 71 / 161
[32/40] Train batch: 72 / 161
[32/40] Train batch: 73 / 161
[32/40] Train batch: 74 / 161
[32/40] Train batch: 75 / 161
[32/40] Train batch: 76 / 161
[32/40] Train batch: 77 / 161
[32/40] Train batch: 78 / 161
[32/40] Train batch: 79 / 161
[32/40] Train batch: 80 / 161
[32/40] Train batch: 81 / 161
[32/40] Train batch: 82 / 161
[32/40] Train batch: 83 / 161
[32/40] Train batch: 84 / 161
[32/40] Train batch: 85 / 161
[32/40] Train batch: 86 / 161
[32/40] Train batch: 87 / 161
[32/40] Train batch: 88 / 161
[32/40] Train batch: 89 / 161
[32/40] Train batch: 90 / 161
[32/40] Train batch: 91 / 161
[32/40] Train batch: 92 / 161
[32/40] Train batch: 93 / 161
[32/40] Train batch: 94 / 161
[32/40] Train batch: 95 / 161
[32/40] Train batch: 96 / 161
[32/40] Train batch: 97 / 161
[32/40] Train batch: 98 / 161
[32/40] Train batch: 99 / 161
[32/40] Train batch: 100 / 161
[32/40] Train batch: 101 / 161
[32/40] Train batch: 102 / 161
[32/40] Train batch: 103 / 161
[32/40] Train batch: 104 / 161
[32/40] Train batch: 105 / 161
[32/40] Train batch: 106 / 161
[32/40] Train batch: 107 / 161
[32/40] Train batch: 108 / 161
[32/40] Train batch: 109 / 161
[32/40] Train batch: 110 / 161
[32/40] Train batch: 111 / 161
[32/40] Train batch: 112 / 161
[32/40] Train batch: 113 / 161
[32/40] Train batch: 114 / 161
[32/40] Train batch: 115 / 161
[32/40] Train batch: 116 / 161
[32/40] Train batch: 117 / 161
[32/40] Train batch: 118 / 161
[32/40] Train batch: 119 / 161
[32/40] Train batch: 120 / 161
[32/40] Train batch: 121 / 161
[32/40] Train batch: 122 / 161
[32/40] Train batch: 123 / 161
[32/40] Train batch: 124 / 161
[32/40] Train batch: 125 / 161
[32/40] Train batch: 126 / 161
[32/40] Train batch: 127 / 161
[32/40] Train batch: 128 / 161
[32/40] Train batch: 129 / 161
[32/40] Train batch: 130 / 161
[32/40] Train batch: 131 / 161
[32/40] Train batch: 132 / 161
[32/40] Train batch: 133 / 161
[32/40] Train batch: 134 / 161
[32/40] Train batch: 135 / 161
[32/40] Train batch: 136 / 161
[32/40] Train batch: 137 / 161
[32/40] Train batch: 138 / 161
[32/40] Train batch: 139 / 161
[32/40] Train batch: 140 / 161
[32/40] Train batch: 141 / 161
[32/40] Train batch: 142 / 161
[32/40] Train batch: 143 / 161
[32/40] Train batch: 144 / 161
[32/40] Train batch: 145 / 161
[32/40] Train batch: 146 / 161
[32/40] Train batch: 147 / 161
[32/40] Train batch: 148 / 161
[32/40] Train batch: 149 / 161
[32/40] Train batch: 150 / 161
[32/40] Train batch: 151 / 161
[32/40] Train batch: 152 / 161
[32/40] Train batch: 153 / 161
[32/40] Train batch: 154 / 161
[32/40] Train batch: 155 / 161
[32/40] Train batch: 156 / 161
[32/40] Train batch: 157 / 161
[32/40] Train batch: 158 / 161
[32/40] Train batch: 159 / 161
[32/40] Train batch: 160 / 161
[32/40] Train batch: 161 / 161
[32/40] 13.11 sec(s) Train Acc: 0.83322 | Train Loss: 0.47160

[32/40] Train batch: 1 / 161
[32/40] Train batch: 2 / 161
[32/40] Train batch: 3 / 161
[32/40] Train batch: 4 / 161
[32/40] Train batch: 5 / 161
[32/40] Train batch: 6 / 161
[32/40] Train batch: 7 / 161
[32/40] Train batch: 8 / 161
[32/40] Train batch: 9 / 161
[32/40] Train batch: 10 / 161
[32/40] Train batch: 11 / 161
[32/40] Train batch: 12 / 161
[32/40] Train batch: 13 / 161
[32/40] Train batch: 14 / 161
[32/40] Train batch: 15 / 161
[32/40] Train batch: 16 / 161
[32/40] Train batch: 17 / 161
[32/40] Train batch: 18 / 161
[32/40] Train batch: 19 / 161
[32/40] Train batch: 20 / 161
[32/40] 0.89 sec(s) Val Acc: 0.90540 | Val Loss: 0.28753

[33/40] Train batch: 1 / 161
[33/40] Train batch: 2 / 161
[33/40] Train batch: 3 / 161
[33/40] Train batch: 4 / 161
[33/40] Train batch: 5 / 161
[33/40] Train batch: 6 / 161
[33/40] Train batch: 7 / 161
[33/40] Train batch: 8 / 161
[33/40] Train batch: 9 / 161
[33/40] Train batch: 10 / 161
[33/40] Train batch: 11 / 161
[33/40] Train batch: 12 / 161
[33/40] Train batch: 13 / 161
[33/40] Train batch: 14 / 161
[33/40] Train batch: 15 / 161
[33/40] Train batch: 16 / 161
[33/40] Train batch: 17 / 161
[33/40] Train batch: 18 / 161
[33/40] Train batch: 19 / 161
[33/40] Train batch: 20 / 161
[33/40] Train batch: 21 / 161
[33/40] Train batch: 22 / 161
[33/40] Train batch: 23 / 161
[33/40] Train batch: 24 / 161
[33/40] Train batch: 25 / 161
[33/40] Train batch: 26 / 161
[33/40] Train batch: 27 / 161
[33/40] Train batch: 28 / 161
[33/40] Train batch: 29 / 161
[33/40] Train batch: 30 / 161
[33/40] Train batch: 31 / 161
[33/40] Train batch: 32 / 161
[33/40] Train batch: 33 / 161
[33/40] Train batch: 34 / 161
[33/40] Train batch: 35 / 161
[33/40] Train batch: 36 / 161
[33/40] Train batch: 37 / 161
[33/40] Train batch: 38 / 161
[33/40] Train batch: 39 / 161
[33/40] Train batch: 40 / 161
[33/40] Train batch: 41 / 161
[33/40] Train batch: 42 / 161
[33/40] Train batch: 43 / 161
[33/40] Train batch: 44 / 161
[33/40] Train batch: 45 / 161
[33/40] Train batch: 46 / 161
[33/40] Train batch: 47 / 161
[33/40] Train batch: 48 / 161
[33/40] Train batch: 49 / 161
[33/40] Train batch: 50 / 161
[33/40] Train batch: 51 / 161
[33/40] Train batch: 52 / 161
[33/40] Train batch: 53 / 161
[33/40] Train batch: 54 / 161
[33/40] Train batch: 55 / 161
[33/40] Train batch: 56 / 161
[33/40] Train batch: 57 / 161
[33/40] Train batch: 58 / 161
[33/40] Train batch: 59 / 161
[33/40] Train batch: 60 / 161
[33/40] Train batch: 61 / 161
[33/40] Train batch: 62 / 161
[33/40] Train batch: 63 / 161
[33/40] Train batch: 64 / 161
[33/40] Train batch: 65 / 161
[33/40] Train batch: 66 / 161
[33/40] Train batch: 67 / 161
[33/40] Train batch: 68 / 161
[33/40] Train batch: 69 / 161
[33/40] Train batch: 70 / 161
[33/40] Train batch: 71 / 161
[33/40] Train batch: 72 / 161
[33/40] Train batch: 73 / 161
[33/40] Train batch: 74 / 161
[33/40] Train batch: 75 / 161
[33/40] Train batch: 76 / 161
[33/40] Train batch: 77 / 161
[33/40] Train batch: 78 / 161
[33/40] Train batch: 79 / 161
[33/40] Train batch: 80 / 161
[33/40] Train batch: 81 / 161
[33/40] Train batch: 82 / 161
[33/40] Train batch: 83 / 161
[33/40] Train batch: 84 / 161
[33/40] Train batch: 85 / 161
[33/40] Train batch: 86 / 161
[33/40] Train batch: 87 / 161
[33/40] Train batch: 88 / 161
[33/40] Train batch: 89 / 161
[33/40] Train batch: 90 / 161
[33/40] Train batch: 91 / 161
[33/40] Train batch: 92 / 161
[33/40] Train batch: 93 / 161
[33/40] Train batch: 94 / 161
[33/40] Train batch: 95 / 161
[33/40] Train batch: 96 / 161
[33/40] Train batch: 97 / 161
[33/40] Train batch: 98 / 161
[33/40] Train batch: 99 / 161
[33/40] Train batch: 100 / 161
[33/40] Train batch: 101 / 161
[33/40] Train batch: 102 / 161
[33/40] Train batch: 103 / 161
[33/40] Train batch: 104 / 161
[33/40] Train batch: 105 / 161
[33/40] Train batch: 106 / 161
[33/40] Train batch: 107 / 161
[33/40] Train batch: 108 / 161
[33/40] Train batch: 109 / 161
[33/40] Train batch: 110 / 161
[33/40] Train batch: 111 / 161
[33/40] Train batch: 112 / 161
[33/40] Train batch: 113 / 161
[33/40] Train batch: 114 / 161
[33/40] Train batch: 115 / 161
[33/40] Train batch: 116 / 161
[33/40] Train batch: 117 / 161
[33/40] Train batch: 118 / 161
[33/40] Train batch: 119 / 161
[33/40] Train batch: 120 / 161
[33/40] Train batch: 121 / 161
[33/40] Train batch: 122 / 161
[33/40] Train batch: 123 / 161
[33/40] Train batch: 124 / 161
[33/40] Train batch: 125 / 161
[33/40] Train batch: 126 / 161
[33/40] Train batch: 127 / 161
[33/40] Train batch: 128 / 161
[33/40] Train batch: 129 / 161
[33/40] Train batch: 130 / 161
[33/40] Train batch: 131 / 161
[33/40] Train batch: 132 / 161
[33/40] Train batch: 133 / 161
[33/40] Train batch: 134 / 161
[33/40] Train batch: 135 / 161
[33/40] Train batch: 136 / 161
[33/40] Train batch: 137 / 161
[33/40] Train batch: 138 / 161
[33/40] Train batch: 139 / 161
[33/40] Train batch: 140 / 161
[33/40] Train batch: 141 / 161
[33/40] Train batch: 142 / 161
[33/40] Train batch: 143 / 161
[33/40] Train batch: 144 / 161
[33/40] Train batch: 145 / 161
[33/40] Train batch: 146 / 161
[33/40] Train batch: 147 / 161
[33/40] Train batch: 148 / 161
[33/40] Train batch: 149 / 161
[33/40] Train batch: 150 / 161
[33/40] Train batch: 151 / 161
[33/40] Train batch: 152 / 161
[33/40] Train batch: 153 / 161
[33/40] Train batch: 154 / 161
[33/40] Train batch: 155 / 161
[33/40] Train batch: 156 / 161
[33/40] Train batch: 157 / 161
[33/40] Train batch: 158 / 161
[33/40] Train batch: 159 / 161
[33/40] Train batch: 160 / 161
[33/40] Train batch: 161 / 161
[33/40] 13.03 sec(s) Train Acc: 0.83308 | Train Loss: 0.47672

[33/40] Train batch: 1 / 161
[33/40] Train batch: 2 / 161
[33/40] Train batch: 3 / 161
[33/40] Train batch: 4 / 161
[33/40] Train batch: 5 / 161
[33/40] Train batch: 6 / 161
[33/40] Train batch: 7 / 161
[33/40] Train batch: 8 / 161
[33/40] Train batch: 9 / 161
[33/40] Train batch: 10 / 161
[33/40] Train batch: 11 / 161
[33/40] Train batch: 12 / 161
[33/40] Train batch: 13 / 161
[33/40] Train batch: 14 / 161
[33/40] Train batch: 15 / 161
[33/40] Train batch: 16 / 161
[33/40] Train batch: 17 / 161
[33/40] Train batch: 18 / 161
[33/40] Train batch: 19 / 161
[33/40] Train batch: 20 / 161
[33/40] 0.68 sec(s) Val Acc: 0.90500 | Val Loss: 0.28754

[34/40] Train batch: 1 / 161
[34/40] Train batch: 2 / 161
[34/40] Train batch: 3 / 161
[34/40] Train batch: 4 / 161
[34/40] Train batch: 5 / 161
[34/40] Train batch: 6 / 161
[34/40] Train batch: 7 / 161
[34/40] Train batch: 8 / 161
[34/40] Train batch: 9 / 161
[34/40] Train batch: 10 / 161
[34/40] Train batch: 11 / 161
[34/40] Train batch: 12 / 161
[34/40] Train batch: 13 / 161
[34/40] Train batch: 14 / 161
[34/40] Train batch: 15 / 161
[34/40] Train batch: 16 / 161
[34/40] Train batch: 17 / 161
[34/40] Train batch: 18 / 161
[34/40] Train batch: 19 / 161
[34/40] Train batch: 20 / 161
[34/40] Train batch: 21 / 161
[34/40] Train batch: 22 / 161
[34/40] Train batch: 23 / 161
[34/40] Train batch: 24 / 161
[34/40] Train batch: 25 / 161
[34/40] Train batch: 26 / 161
[34/40] Train batch: 27 / 161
[34/40] Train batch: 28 / 161
[34/40] Train batch: 29 / 161
[34/40] Train batch: 30 / 161
[34/40] Train batch: 31 / 161
[34/40] Train batch: 32 / 161
[34/40] Train batch: 33 / 161
[34/40] Train batch: 34 / 161
[34/40] Train batch: 35 / 161
[34/40] Train batch: 36 / 161
[34/40] Train batch: 37 / 161
[34/40] Train batch: 38 / 161
[34/40] Train batch: 39 / 161
[34/40] Train batch: 40 / 161
[34/40] Train batch: 41 / 161
[34/40] Train batch: 42 / 161
[34/40] Train batch: 43 / 161
[34/40] Train batch: 44 / 161
[34/40] Train batch: 45 / 161
[34/40] Train batch: 46 / 161
[34/40] Train batch: 47 / 161
[34/40] Train batch: 48 / 161
[34/40] Train batch: 49 / 161
[34/40] Train batch: 50 / 161
[34/40] Train batch: 51 / 161
[34/40] Train batch: 52 / 161
[34/40] Train batch: 53 / 161
[34/40] Train batch: 54 / 161
[34/40] Train batch: 55 / 161
[34/40] Train batch: 56 / 161
[34/40] Train batch: 57 / 161
[34/40] Train batch: 58 / 161
[34/40] Train batch: 59 / 161
[34/40] Train batch: 60 / 161
[34/40] Train batch: 61 / 161
[34/40] Train batch: 62 / 161
[34/40] Train batch: 63 / 161
[34/40] Train batch: 64 / 161
[34/40] Train batch: 65 / 161
[34/40] Train batch: 66 / 161
[34/40] Train batch: 67 / 161
[34/40] Train batch: 68 / 161
[34/40] Train batch: 69 / 161
[34/40] Train batch: 70 / 161
[34/40] Train batch: 71 / 161
[34/40] Train batch: 72 / 161
[34/40] Train batch: 73 / 161
[34/40] Train batch: 74 / 161
[34/40] Train batch: 75 / 161
[34/40] Train batch: 76 / 161
[34/40] Train batch: 77 / 161
[34/40] Train batch: 78 / 161
[34/40] Train batch: 79 / 161
[34/40] Train batch: 80 / 161
[34/40] Train batch: 81 / 161
[34/40] Train batch: 82 / 161
[34/40] Train batch: 83 / 161
[34/40] Train batch: 84 / 161
[34/40] Train batch: 85 / 161
[34/40] Train batch: 86 / 161
[34/40] Train batch: 87 / 161
[34/40] Train batch: 88 / 161
[34/40] Train batch: 89 / 161
[34/40] Train batch: 90 / 161
[34/40] Train batch: 91 / 161
[34/40] Train batch: 92 / 161
[34/40] Train batch: 93 / 161
[34/40] Train batch: 94 / 161
[34/40] Train batch: 95 / 161
[34/40] Train batch: 96 / 161
[34/40] Train batch: 97 / 161
[34/40] Train batch: 98 / 161
[34/40] Train batch: 99 / 161
[34/40] Train batch: 100 / 161
[34/40] Train batch: 101 / 161
[34/40] Train batch: 102 / 161
[34/40] Train batch: 103 / 161
[34/40] Train batch: 104 / 161
[34/40] Train batch: 105 / 161
[34/40] Train batch: 106 / 161
[34/40] Train batch: 107 / 161
[34/40] Train batch: 108 / 161
[34/40] Train batch: 109 / 161
[34/40] Train batch: 110 / 161
[34/40] Train batch: 111 / 161
[34/40] Train batch: 112 / 161
[34/40] Train batch: 113 / 161
[34/40] Train batch: 114 / 161
[34/40] Train batch: 115 / 161
[34/40] Train batch: 116 / 161
[34/40] Train batch: 117 / 161
[34/40] Train batch: 118 / 161
[34/40] Train batch: 119 / 161
[34/40] Train batch: 120 / 161
[34/40] Train batch: 121 / 161
[34/40] Train batch: 122 / 161
[34/40] Train batch: 123 / 161
[34/40] Train batch: 124 / 161
[34/40] Train batch: 125 / 161
[34/40] Train batch: 126 / 161
[34/40] Train batch: 127 / 161
[34/40] Train batch: 128 / 161
[34/40] Train batch: 129 / 161
[34/40] Train batch: 130 / 161
[34/40] Train batch: 131 / 161
[34/40] Train batch: 132 / 161
[34/40] Train batch: 133 / 161
[34/40] Train batch: 134 / 161
[34/40] Train batch: 135 / 161
[34/40] Train batch: 136 / 161
[34/40] Train batch: 137 / 161
[34/40] Train batch: 138 / 161
[34/40] Train batch: 139 / 161
[34/40] Train batch: 140 / 161
[34/40] Train batch: 141 / 161
[34/40] Train batch: 142 / 161
[34/40] Train batch: 143 / 161
[34/40] Train batch: 144 / 161
[34/40] Train batch: 145 / 161
[34/40] Train batch: 146 / 161
[34/40] Train batch: 147 / 161
[34/40] Train batch: 148 / 161
[34/40] Train batch: 149 / 161
[34/40] Train batch: 150 / 161
[34/40] Train batch: 151 / 161
[34/40] Train batch: 152 / 161
[34/40] Train batch: 153 / 161
[34/40] Train batch: 154 / 161
[34/40] Train batch: 155 / 161
[34/40] Train batch: 156 / 161
[34/40] Train batch: 157 / 161
[34/40] Train batch: 158 / 161
[34/40] Train batch: 159 / 161
[34/40] Train batch: 160 / 161
[34/40] Train batch: 161 / 161
[34/40] 12.94 sec(s) Train Acc: 0.83103 | Train Loss: 0.47533

[34/40] Train batch: 1 / 161
[34/40] Train batch: 2 / 161
[34/40] Train batch: 3 / 161
[34/40] Train batch: 4 / 161
[34/40] Train batch: 5 / 161
[34/40] Train batch: 6 / 161
[34/40] Train batch: 7 / 161
[34/40] Train batch: 8 / 161
[34/40] Train batch: 9 / 161
[34/40] Train batch: 10 / 161
[34/40] Train batch: 11 / 161
[34/40] Train batch: 12 / 161
[34/40] Train batch: 13 / 161
[34/40] Train batch: 14 / 161
[34/40] Train batch: 15 / 161
[34/40] Train batch: 16 / 161
[34/40] Train batch: 17 / 161
[34/40] Train batch: 18 / 161
[34/40] Train batch: 19 / 161
[34/40] Train batch: 20 / 161
[34/40] 0.72 sec(s) Val Acc: 0.90480 | Val Loss: 0.28673

[35/40] Train batch: 1 / 161
[35/40] Train batch: 2 / 161
[35/40] Train batch: 3 / 161
[35/40] Train batch: 4 / 161
[35/40] Train batch: 5 / 161
[35/40] Train batch: 6 / 161
[35/40] Train batch: 7 / 161
[35/40] Train batch: 8 / 161
[35/40] Train batch: 9 / 161
[35/40] Train batch: 10 / 161
[35/40] Train batch: 11 / 161
[35/40] Train batch: 12 / 161
[35/40] Train batch: 13 / 161
[35/40] Train batch: 14 / 161
[35/40] Train batch: 15 / 161
[35/40] Train batch: 16 / 161
[35/40] Train batch: 17 / 161
[35/40] Train batch: 18 / 161
[35/40] Train batch: 19 / 161
[35/40] Train batch: 20 / 161
[35/40] Train batch: 21 / 161
[35/40] Train batch: 22 / 161
[35/40] Train batch: 23 / 161
[35/40] Train batch: 24 / 161
[35/40] Train batch: 25 / 161
[35/40] Train batch: 26 / 161
[35/40] Train batch: 27 / 161
[35/40] Train batch: 28 / 161
[35/40] Train batch: 29 / 161
[35/40] Train batch: 30 / 161
[35/40] Train batch: 31 / 161
[35/40] Train batch: 32 / 161
[35/40] Train batch: 33 / 161
[35/40] Train batch: 34 / 161
[35/40] Train batch: 35 / 161
[35/40] Train batch: 36 / 161
[35/40] Train batch: 37 / 161
[35/40] Train batch: 38 / 161
[35/40] Train batch: 39 / 161
[35/40] Train batch: 40 / 161
[35/40] Train batch: 41 / 161
[35/40] Train batch: 42 / 161
[35/40] Train batch: 43 / 161
[35/40] Train batch: 44 / 161
[35/40] Train batch: 45 / 161
[35/40] Train batch: 46 / 161
[35/40] Train batch: 47 / 161
[35/40] Train batch: 48 / 161
[35/40] Train batch: 49 / 161
[35/40] Train batch: 50 / 161
[35/40] Train batch: 51 / 161
[35/40] Train batch: 52 / 161
[35/40] Train batch: 53 / 161
[35/40] Train batch: 54 / 161
[35/40] Train batch: 55 / 161
[35/40] Train batch: 56 / 161
[35/40] Train batch: 57 / 161
[35/40] Train batch: 58 / 161
[35/40] Train batch: 59 / 161
[35/40] Train batch: 60 / 161
[35/40] Train batch: 61 / 161
[35/40] Train batch: 62 / 161
[35/40] Train batch: 63 / 161
[35/40] Train batch: 64 / 161
[35/40] Train batch: 65 / 161
[35/40] Train batch: 66 / 161
[35/40] Train batch: 67 / 161
[35/40] Train batch: 68 / 161
[35/40] Train batch: 69 / 161
[35/40] Train batch: 70 / 161
[35/40] Train batch: 71 / 161
[35/40] Train batch: 72 / 161
[35/40] Train batch: 73 / 161
[35/40] Train batch: 74 / 161
[35/40] Train batch: 75 / 161
[35/40] Train batch: 76 / 161
[35/40] Train batch: 77 / 161
[35/40] Train batch: 78 / 161
[35/40] Train batch: 79 / 161
[35/40] Train batch: 80 / 161
[35/40] Train batch: 81 / 161
[35/40] Train batch: 82 / 161
[35/40] Train batch: 83 / 161
[35/40] Train batch: 84 / 161
[35/40] Train batch: 85 / 161
[35/40] Train batch: 86 / 161
[35/40] Train batch: 87 / 161
[35/40] Train batch: 88 / 161
[35/40] Train batch: 89 / 161
[35/40] Train batch: 90 / 161
[35/40] Train batch: 91 / 161
[35/40] Train batch: 92 / 161
[35/40] Train batch: 93 / 161
[35/40] Train batch: 94 / 161
[35/40] Train batch: 95 / 161
[35/40] Train batch: 96 / 161
[35/40] Train batch: 97 / 161
[35/40] Train batch: 98 / 161
[35/40] Train batch: 99 / 161
[35/40] Train batch: 100 / 161
[35/40] Train batch: 101 / 161
[35/40] Train batch: 102 / 161
[35/40] Train batch: 103 / 161
[35/40] Train batch: 104 / 161
[35/40] Train batch: 105 / 161
[35/40] Train batch: 106 / 161
[35/40] Train batch: 107 / 161
[35/40] Train batch: 108 / 161
[35/40] Train batch: 109 / 161
[35/40] Train batch: 110 / 161
[35/40] Train batch: 111 / 161
[35/40] Train batch: 112 / 161
[35/40] Train batch: 113 / 161
[35/40] Train batch: 114 / 161
[35/40] Train batch: 115 / 161
[35/40] Train batch: 116 / 161
[35/40] Train batch: 117 / 161
[35/40] Train batch: 118 / 161
[35/40] Train batch: 119 / 161
[35/40] Train batch: 120 / 161
[35/40] Train batch: 121 / 161
[35/40] Train batch: 122 / 161
[35/40] Train batch: 123 / 161
[35/40] Train batch: 124 / 161
[35/40] Train batch: 125 / 161
[35/40] Train batch: 126 / 161
[35/40] Train batch: 127 / 161
[35/40] Train batch: 128 / 161
[35/40] Train batch: 129 / 161
[35/40] Train batch: 130 / 161
[35/40] Train batch: 131 / 161
[35/40] Train batch: 132 / 161
[35/40] Train batch: 133 / 161
[35/40] Train batch: 134 / 161
[35/40] Train batch: 135 / 161
[35/40] Train batch: 136 / 161
[35/40] Train batch: 137 / 161
[35/40] Train batch: 138 / 161
[35/40] Train batch: 139 / 161
[35/40] Train batch: 140 / 161
[35/40] Train batch: 141 / 161
[35/40] Train batch: 142 / 161
[35/40] Train batch: 143 / 161
[35/40] Train batch: 144 / 161
[35/40] Train batch: 145 / 161
[35/40] Train batch: 146 / 161
[35/40] Train batch: 147 / 161
[35/40] Train batch: 148 / 161
[35/40] Train batch: 149 / 161
[35/40] Train batch: 150 / 161
[35/40] Train batch: 151 / 161
[35/40] Train batch: 152 / 161
[35/40] Train batch: 153 / 161
[35/40] Train batch: 154 / 161
[35/40] Train batch: 155 / 161
[35/40] Train batch: 156 / 161
[35/40] Train batch: 157 / 161
[35/40] Train batch: 158 / 161
[35/40] Train batch: 159 / 161
[35/40] Train batch: 160 / 161
[35/40] Train batch: 161 / 161
[35/40] 12.90 sec(s) Train Acc: 0.83190 | Train Loss: 0.47339

[35/40] Train batch: 1 / 161
[35/40] Train batch: 2 / 161
[35/40] Train batch: 3 / 161
[35/40] Train batch: 4 / 161
[35/40] Train batch: 5 / 161
[35/40] Train batch: 6 / 161
[35/40] Train batch: 7 / 161
[35/40] Train batch: 8 / 161
[35/40] Train batch: 9 / 161
[35/40] Train batch: 10 / 161
[35/40] Train batch: 11 / 161
[35/40] Train batch: 12 / 161
[35/40] Train batch: 13 / 161
[35/40] Train batch: 14 / 161
[35/40] Train batch: 15 / 161
[35/40] Train batch: 16 / 161
[35/40] Train batch: 17 / 161
[35/40] Train batch: 18 / 161
[35/40] Train batch: 19 / 161
[35/40] Train batch: 20 / 161
[35/40] 0.73 sec(s) Val Acc: 0.90480 | Val Loss: 0.28723

[36/40] Train batch: 1 / 161
[36/40] Train batch: 2 / 161
[36/40] Train batch: 3 / 161
[36/40] Train batch: 4 / 161
[36/40] Train batch: 5 / 161
[36/40] Train batch: 6 / 161
[36/40] Train batch: 7 / 161
[36/40] Train batch: 8 / 161
[36/40] Train batch: 9 / 161
[36/40] Train batch: 10 / 161
[36/40] Train batch: 11 / 161
[36/40] Train batch: 12 / 161
[36/40] Train batch: 13 / 161
[36/40] Train batch: 14 / 161
[36/40] Train batch: 15 / 161
[36/40] Train batch: 16 / 161
[36/40] Train batch: 17 / 161
[36/40] Train batch: 18 / 161
[36/40] Train batch: 19 / 161
[36/40] Train batch: 20 / 161
[36/40] Train batch: 21 / 161
[36/40] Train batch: 22 / 161
[36/40] Train batch: 23 / 161
[36/40] Train batch: 24 / 161
[36/40] Train batch: 25 / 161
[36/40] Train batch: 26 / 161
[36/40] Train batch: 27 / 161
[36/40] Train batch: 28 / 161
[36/40] Train batch: 29 / 161
[36/40] Train batch: 30 / 161
[36/40] Train batch: 31 / 161
[36/40] Train batch: 32 / 161
[36/40] Train batch: 33 / 161
[36/40] Train batch: 34 / 161
[36/40] Train batch: 35 / 161
[36/40] Train batch: 36 / 161
[36/40] Train batch: 37 / 161
[36/40] Train batch: 38 / 161
[36/40] Train batch: 39 / 161
[36/40] Train batch: 40 / 161
[36/40] Train batch: 41 / 161
[36/40] Train batch: 42 / 161
[36/40] Train batch: 43 / 161
[36/40] Train batch: 44 / 161
[36/40] Train batch: 45 / 161
[36/40] Train batch: 46 / 161
[36/40] Train batch: 47 / 161
[36/40] Train batch: 48 / 161
[36/40] Train batch: 49 / 161
[36/40] Train batch: 50 / 161
[36/40] Train batch: 51 / 161
[36/40] Train batch: 52 / 161
[36/40] Train batch: 53 / 161
[36/40] Train batch: 54 / 161
[36/40] Train batch: 55 / 161
[36/40] Train batch: 56 / 161
[36/40] Train batch: 57 / 161
[36/40] Train batch: 58 / 161
[36/40] Train batch: 59 / 161
[36/40] Train batch: 60 / 161
[36/40] Train batch: 61 / 161
[36/40] Train batch: 62 / 161
[36/40] Train batch: 63 / 161
[36/40] Train batch: 64 / 161
[36/40] Train batch: 65 / 161
[36/40] Train batch: 66 / 161
[36/40] Train batch: 67 / 161
[36/40] Train batch: 68 / 161
[36/40] Train batch: 69 / 161
[36/40] Train batch: 70 / 161
[36/40] Train batch: 71 / 161
[36/40] Train batch: 72 / 161
[36/40] Train batch: 73 / 161
[36/40] Train batch: 74 / 161
[36/40] Train batch: 75 / 161
[36/40] Train batch: 76 / 161
[36/40] Train batch: 77 / 161
[36/40] Train batch: 78 / 161
[36/40] Train batch: 79 / 161
[36/40] Train batch: 80 / 161
[36/40] Train batch: 81 / 161
[36/40] Train batch: 82 / 161
[36/40] Train batch: 83 / 161
[36/40] Train batch: 84 / 161
[36/40] Train batch: 85 / 161
[36/40] Train batch: 86 / 161
[36/40] Train batch: 87 / 161
[36/40] Train batch: 88 / 161
[36/40] Train batch: 89 / 161
[36/40] Train batch: 90 / 161
[36/40] Train batch: 91 / 161
